Customer ID,Date,F14,Order Number,Product Category,Product Line,Product Name,Size,SKU,F12,F13,Price,Quantity,Sales
3f444056-2da3-4ded-9481-c0dd4d6a3029,17/03/2019,,TF3-7284-4263-6585,treat,dog,All Veggie Yummies,,OWFPW3WZHG,,,25.48,2,50.96
a524bba6-c632-4e67-85a8-75c6f7150dfa,18/03/2019,,TI9-8009-3658-7140,toy,dog,Chomp-a Plush,,3HDX5H4WTM,,,39.24,3,117.72
f6c07eac-fcae-4b09-97c9-6a01ae38825b,21/03/2019,,HJ7-2172-3544-8150,bedding,cat,Chomp-a Plush,,058G0P7V60,,,29.66,1,29.66
67ea4fff-dd62-4b29-bc87-19671d584651,21/03/2019,,A7Q-8664-0516-3933,food,cat,Purr Mix,,O5FYJLBE0H,,,24.53,3,73.59
720d27de-956f-4571-bf06-f4bed6e1732b,26/03/2019,,UE4-0371-6880-7040,toy,cat,Purr Mix,,MPH6SCD7UT,,,26.95,2,53.9
5612c22f-a081-4d03-822d-449ab1e7ae6f,29/03/2019,,BLC-6715-6652-8279,treat,dog,Chewie Dental,,CG3531YP08,,,38.17,2,76.34
3ad0be32-a421-494e-a800-5300e9e3ef82,29/03/2019,,69B-8579-7900-1555,bedding,dog,Reddy Beddy,small,KDTMPSBZKZ,,,13.84,1,13.84
e2b695c8-bf79-46d5-9455-f53f68562af2,31/03/2019,,5ZR-4930-9569-1000,treat,cat,Reddy Beddy,,RKAPY3I1TP,,,39.55,2,79.1
4cb08e07-9702-4a28-93ed-723f3d141079,01/04/2019,,AR3-8002-1603-9598,food,cat,Purr Mix,,O5FYJLBE0H,,,24.53,3,73.59
29cec00b-b9ef-45de-af94-f5231986ea36,07/04/2019,,0NV-9141-7747-8049,toy,cat,Scratchy Post,,MPH6SCD7UT,,,26.95,2,53.9
b6caeecb-c92b-4944-b026-921c1008e407,14/04/2019,,GHY-8575-0972-0943,toy,dog,Fetch Blaster,,M291KHJ4LW,,,29.47,3,88.41
d3007de5-e5c1-42b6-bae6-7f66b445144c,16/04/2019,,W7D-8546-4966-0373,treat,cat,Tuna Tasties,,A8SU9C4GLF,,,14.53,2,29.06
d3007de5-e5c1-42b6-bae6-7f66b445144c,16/04/2019,,W7D-8546-4966-0373,bedding,dog,Reddy Beddy,large,DJWE1V9LZK,,,23.07,2,46.14
2636a973-0a46-4233-87d6-ce5a19bf0058,18/04/2019,,74O-7939-4422-4135,toy,dog,Chomp-a Plush,,3HDX5H4WTM,,,39.24,1,39.24
N/A,18/04/2019,,O3X-7590-8873-7538,food,dog,New Dish,large,NYW2F6CPBY,,,17.16,3,51.48
0cf58e59-487f-498b-b240-329fdc881af9,24/04/2019,,HUB-8716-8220-4224,bedding,dog,Reddy Beddy,medium,I2GQUNYDXW,,,36.3,2,72.6
8978863e-2679-40d3-8635-5b3ef4f36bf8,24/04/2019,,55Z-0643-3452-0578,treat,cat,Reddy Beddy,,RKAPY3I1TP,,,39.55,1,39.55
